series,vintage,origin,survey_q,horizon_quarters,target_annualized_pct
core_cpi,first_release,2023Q2,2023Q3,2,3.0568768290390316
core_cpi,first_release,2023Q2,2023Q3,4,3.3579636197688245
core_cpi,first_release,2023Q3,2023Q4,1,3.305129602800842
core_cpi,first_release,2023Q3,2023Q4,2,3.752892128530368
core_cpi,first_release,2023Q3,2023Q4,4,3.209664073703041
core_cpi,first_release,2023Q4,2024Q1,1,4.200654654259837
core_cpi,first_release,2023Q4,2024Q1,2,3.659050410498585
core_cpi,first_release,2023Q4,2024Q1,4,3.2446752799505685
core_cpi,first_release,2024Q1,2024Q2,1,3.1174461667373197
core_cpi,first_release,2024Q1,2024Q2,2,2.6664360188757126
core_cpi,first_release,2024Q1,2024Q2,4,3.0618265510051192
core_cpi,first_release,2024Q2,2024Q3,1,2.2154258710141153
core_cpi,first_release,2024Q2,2024Q3,2,2.8303001494025497
core_cpi,first_release,2024Q2,2024Q3,4,2.7946430672213904
core_cpi,first_release,2024Q3,2024Q4,1,3.445174427790988
core_cpi,first_release,2024Q3,2024Q4,2,3.457217083134504
core_cpi,first_release,2024Q3,2024Q4,4,3.063895704554318
core_cpi,first_release,2024Q4,2025Q1,1,3.4692597384780575
core_cpi,first_release,2024Q4,2025Q1,2,2.7589859850402485
core_cpi,first_release,2024Q4,2025Q1,4,2.707620807259051
core_cpi,first_release,2025Q1,2025Q2,1,2.0487122316024746
core_cpi,first_release,2025Q1,2025Q2,2,2.6705743259740924
core_cpi,first_release,2025Q1,2025Q2,4,2.344137941770892
core_cpi,first_release,2025Q2,2025Q3,1,3.292436420345736
core_cpi,first_release,2025Q2,2025Q3,2,2.6562556294778226
core_cpi,first_release,2025Q2,2025Q3,4,2.5429853081352394
core_cpi,first_release,2025Q3,2025Q4,1,2.0200748386099083
core_cpi,first_release,2025Q3,2025Q4,2,2.01770155756768
core_cpi,first_release,2025Q4,2026Q1,1,2.01532827652547
core_cpi,first_release,2025Q4,2026Q1,2,2.4297149867926446
core_cpi,first_release,2026Q1,2026Q2,1,2.8441016970598487
core_cpi,most_recent_release,1998Q4,1999Q1,1,1.7498898941952916
core_cpi,most_recent_release,1998Q4,1999Q1,2,1.821633619043362
core_cpi,most_recent_release,1998Q4,1999Q1,4,2.0004340949799544
core_cpi,most_recent_release,1999Q1,1999Q2,1,1.8933773438914958
core_cpi,most_recent_release,1999Q1,1999Q2,2,2.0016957795297405
core_cpi,most_recent_release,1999Q1,1999Q2,4,2.214788563373891
core_cpi,most_recent_release,1999Q2,1999Q3,1,2.1100142151680714
core_cpi,most_recent_release,1999Q2,1999Q3,2,2.1792345709165755
core_cpi,most_recent_release,1999Q2,1999Q3,4,2.370606526650044
core_cpi,most_recent_release,1999Q3,1999Q4,1,2.248454926665092
core_cpi,most_recent_release,1999Q3,1999Q4,2,2.4278813472180425
core_cpi,most_recent_release,1999Q3,1999Q4,4,2.504991495210282
core_cpi,most_recent_release,1999Q4,2000Q1,1,2.607307767770957
core_cpi,most_recent_release,1999Q4,2000Q1,2,2.561978482383497
core_cpi,most_recent_release,1999Q4,2000Q1,4,2.545783183099292
core_cpi,most_recent_release,2000Q1,2000Q2,1,2.5166491969960387
core_cpi,most_recent_release,2000Q1,2000Q2,2,2.5821016432025385
core_cpi,most_recent_release,2000Q1,2000Q2,4,2.619915664615403
core_cpi,most_recent_release,2000Q2,2000Q3,1,2.647554089408992
core_cpi,most_recent_release,2000Q2,2000Q3,2,2.5295878838150694
core_cpi,most_recent_release,2000Q2,2000Q3,4,2.603697644821866
core_cpi,most_recent_release,2000Q3,2000Q4,1,2.411621678221052
core_cpi,most_recent_release,2000Q3,2000Q4,2,2.6577296860282864
core_cpi,most_recent_release,2000Q3,2000Q4,4,2.6224504482953788
core_cpi,most_recent_release,2000Q4,2001Q1,1,2.903837693835456
core_cpi,most_recent_release,2000Q4,2001Q1,2,2.677807405828672
core_cpi,most_recent_release,2000Q4,2001Q1,4,2.6778546597665778
core_cpi,most_recent_release,2001Q1,2001Q2,1,2.45177711782187
core_cpi,most_recent_release,2001Q1,2001Q2,2,2.5871712105624614
core_cpi,most_recent_release,2001Q1,2001Q2,4,2.5001378141571085
core_cpi,most_recent_release,2001Q2,2001Q3,1,2.722565303303086
core_cpi,most_recent_release,2001Q2,2001Q3,2,2.677901913704442
core_cpi,most_recent_release,2001Q2,2001Q3,4,2.397346946199096
core_cpi,most_recent_release,2001Q3,2001Q4,1,2.633238524105883
core_cpi,most_recent_release,2001Q3,2001Q4,2,2.413104417751744
core_cpi,most_recent_release,2001Q3,2001Q4,4,2.241735844971444
core_cpi,most_recent_release,2001Q4,2002Q1,1,2.192970311397635
core_cpi,most_recent_release,2001Q4,2002Q1,2,2.1167919786937386
core_cpi,most_recent_release,2001Q4,2002Q1,4,2.0362251872664907
core_cpi,most_recent_release,2002Q1,2002Q2,1,2.040613645989909
core_cpi,most_recent_release,2002Q1,2002Q2,2,2.0703672721911848
core_cpi,most_recent_release,2002Q1,2002Q2,4,1.8175837384014693
core_cpi,most_recent_release,2002Q2,2002Q3,1,2.1001208983924413
core_cpi,most_recent_release,2002Q2,2002Q3,2,1.9556583958392393
core_cpi,most_recent_release,2002Q2,2002Q3,4,1.4804720322227194
core_cpi,most_recent_release,2002Q3,2002Q4,1,1.8111958932859658
core_cpi,most_recent_release,2002Q3,2002Q4,2,1.5648002046117537
core_cpi,most_recent_release,2002Q3,2002Q4,4,1.3523028034871272
core_cpi,most_recent_release,2002Q4,2003Q1,1,1.3184045159375162
