survey_q,origin,horizon_quarters,endpoint,maturity_vintage,target_annualized_pct
2013Q3,2013Q2,4,2014Q2,2014Q3,2.0603969390479815
2013Q4,2013Q3,1,2013Q4,2014Q1,1.1361168107955733
2013Q4,2013Q3,2,2014Q1,2014Q2,1.5238543178763941
2013Q4,2013Q3,4,2014Q3,2014Q4,1.793635288088563
2014Q1,2013Q4,1,2014Q1,2014Q2,1.911591824957215
2014Q1,2013Q4,2,2014Q2,2014Q3,2.471287554013457
2014Q1,2013Q4,4,2014Q4,2015Q1,1.2098288981173821
2014Q2,2014Q1,1,2014Q2,2014Q3,3.030983283069699
2014Q2,2014Q1,2,2014Q3,2014Q4,2.063416258300732
2014Q2,2014Q1,4,2015Q1,2015Q2,-0.07315346827332092
2014Q3,2014Q2,1,2014Q3,2014Q4,1.0958492335317649
2014Q3,2014Q2,2,2014Q4,2015Q1,-0.05162975777869283
2014Q3,2014Q2,4,2015Q2,2015Q3,0.06219093526206032
2014Q4,2014Q3,1,2014Q4,2015Q1,-1.1991087490891505
2014Q4,2014Q3,2,2015Q1,2015Q2,-1.9564883991430915
2014Q4,2014Q3,4,2015Q3,2015Q4,0.16215089598269616
2015Q1,2014Q4,1,2015Q1,2015Q2,-3.0586221566305416
2015Q1,2014Q4,2,2015Q2,2015Q3,-0.040180042523091375
2015Q1,2014Q4,4,2015Q4,2016Q1,0.4324023199759913
2015Q2,2015Q1,1,2015Q2,2015Q3,2.978262071584359
2015Q2,2015Q1,2,2015Q3,2015Q4,2.280790191108484
2015Q2,2015Q1,4,2016Q1,2016Q2,1.0677393840188647
2015Q3,2015Q2,1,2015Q3,2015Q4,1.5833183106326087
2015Q3,2015Q2,2,2015Q4,2016Q1,0.904984682475074
2015Q3,2015Q2,4,2016Q2,2016Q3,1.0933769010619128
2015Q4,2015Q3,1,2015Q4,2016Q1,0.2266510543175393
2015Q4,2015Q3,2,2016Q1,2016Q2,0.22825661474782932
2015Q4,2015Q3,4,2016Q3,2016Q4,1.153820741925629
2016Q1,2015Q4,1,2016Q1,2016Q2,-0.31211128323661574
2016Q1,2015Q4,2,2016Q2,2016Q3,1.1148951328622092
2016Q1,2015Q4,4,2016Q4,2017Q1,1.8162239162932359
2016Q2,2016Q1,1,2016Q2,2016Q3,2.541901548961034
2016Q2,2016Q1,2,2016Q3,2016Q4,2.079384869103429
2016Q2,2016Q1,4,2017Q1,2017Q2,2.5749205253899508
2016Q3,2016Q2,1,2016Q3,2016Q4,1.6322865749415216
2016Q3,2016Q2,2,2016Q4,2017Q1,2.4120028339050026
2016Q3,2016Q2,4,2017Q2,2017Q3,1.914857854531915
2016Q4,2016Q3,1,2016Q4,2017Q1,3.040329214836457
2016Q4,2016Q3,2,2017Q1,2017Q2,3.0939006253505097
2016Q4,2016Q3,4,2017Q3,2017Q4,1.97242799832415
2017Q1,2016Q4,1,2017Q1,2017Q2,3.1474720358645625
2017Q1,2016Q4,2,2017Q2,2017Q3,1.4177128751588275
2017Q1,2016Q4,4,2017Q4,2018Q1,2.1234398964209533
2017Q2,2017Q1,1,2017Q2,2017Q3,-0.3120462855469075
2017Q2,2017Q1,2,2017Q3,2017Q4,0.8509553712977902
2017Q2,2017Q1,4,2018Q1,2018Q2,2.260730305383868
2017Q3,2017Q2,1,2017Q3,2017Q4,2.013957028142488
2017Q3,2017Q2,2,2017Q4,2018Q1,2.717601655074975
2017Q3,2017Q2,4,2018Q2,2018Q3,2.6497137520858196
2017Q4,2017Q3,1,2017Q4,2018Q1,3.309258644908475
2017Q4,2017Q3,2,2018Q1,2018Q2,3.4084590641747514
2017Q4,2017Q3,4,2018Q3,2018Q4,2.6171238222645385
2018Q1,2017Q4,1,2018Q1,2018Q2,3.507659483441028
2018Q1,2017Q4,2,2018Q2,2018Q3,2.581825849096664
2018Q1,2017Q4,4,2018Q4,2019Q1,2.2204403798664343
2018Q2,2018Q1,1,2018Q2,2018Q3,1.6559922147522999
2018Q2,2018Q1,2,2018Q3,2018Q4,1.8257885803543261
2018Q2,2018Q1,4,2019Q1,2019Q2,1.6305196325251348
2018Q3,2018Q2,1,2018Q3,2018Q4,1.9955849459563524
2018Q3,2018Q2,2,2018Q4,2019Q1,1.7481475460862872
2018Q3,2018Q2,4,2019Q2,2019Q3,1.8228035848881052
2018Q4,2018Q3,1,2018Q4,2019Q1,1.4859332182080243
2018Q4,2018Q3,2,2019Q1,2019Q2,1.1814447046614385
2018Q4,2018Q3,4,2019Q3,2019Q4,1.767515745446352
2019Q1,2018Q4,1,2019Q1,2019Q2,0.8769561911148527
2019Q1,2018Q4,2,2019Q2,2019Q3,1.8974596236899233
2019Q1,2018Q4,4,2019Q4,2020Q1,2.035008926875709
2019Q2,2019Q1,1,2019Q2,2019Q3,2.917963056264994
2019Q2,2019Q1,2,2019Q3,2019Q4,2.3535867862312654
2019Q2,2019Q1,4,2020Q1,2020Q2,2.107562179763117
2019Q3,2019Q2,1,2019Q3,2019Q4,1.789210516197537
